title,info,price,address,description,images,room_type,quantity
Eiffel Gallery Apt_3mins to HoanKiem lake ,4 guests · 2 bedrooms · 2 beds · 1.5 baths,16 ,"Entire apartment in Hoàn Kiếm, HN","The apartment is located in the Old Quarter created by my love. All of decorations are handmade and it's truly the best place you can think of for your vacation.It is full of light, you can see the old town from the romantic dining area or the ""Eiffel Tower of Hanoi"" from the master bedroom! Taking a bath in the blue sky is also an interesting experience.You can explore Hanoi by walking from this apartment! It's so close Hoan Kiem Lake.The spaceThere is a big room with glass for you to enjoy tea or coffee every morning and a romantic dinner with friends. Would be a great experience with perfect view.Langmandi have a large TV with Netflix for you can watch famous movies. All of decorations are made by me with big love. I hope you and your families will feel comfortable and happy when you discovering Hanoi Capital . That’s important for you to enjoy fresh air and quiet lifestyle.P/s: My apartment is located on the 3rd floors and . I am pretty sure it is worthy to take some steps to 3rd floors and see amazing view.Guest accessDuring the time you stay in Eiffel, you will have access to:- TV with NETFLIX- Private bathroom with bathtub, full kitchen equipment and kitchen- Free high speed WIFIOther things to noteMy place is a lot of plants so we appreciate you if you can take care of them and ""shower"" them as we do. The plants are so happy if you can take some water for them before 11am or after 4pm.- Please don't make some noise after 11pm- When moving in the house or up/down the stairs, please be mindful to keep the noise down, keep the area clean (no littering!).I hope you don't feel bother with some rules cause i want you love house like your owner and we thank you for your understanding! ^.^P/s: Eiffel is located on the 4th floors so we do not recommend those with heavy luggages. May be you thought the room at high floor but I am pretty sure it is worthy to take some steps to 4th floors and see amazing view. This is a little gem of a place, in the heart of Hanoi. Close enough to the Old Quarter and all of the tourist draws, but far enough away for you to feel like you're actually in Hanoi. ^.^","['https://a0.muscache.com/im/pictures/708d35e2-d381-4575-b700-7a9c4d712633.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/4de8ea81-81db-44b1-8934-9e0991a22ac3.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/d5d9220f-7865-44d5-9427-36f55309440a.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/8102b948-121b-4277-804b-6ab4268b212c.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/fc2becc7-8b1c-49ef-b103-5a12efef0130.jpg?im_w=720']","['Small', 'Medium', 'Large']",2
"New Studio, lift, Hoan Kiem, near old quarter #302 ",2 guests · 1 bedroom · 1 bed · 1 bath,10 ,"Entire apartment in Hoàn Kiếm, HN","Welcome to Botanicahome! We are happy to invite you to enjoy our family’s home. We wanted to create a space where people feel completely comfortable and at home. Each studio apartment is located in the mini building so near old quarter and downtown. This building was built in 2020 and is operated by own family. We'll try to account for every detail, big and small to delight you and give you a neat, clean, safe, affordable, cozy environment.The spaceTHE BUILDING+ Brand new mini apartment building.+ Surveillance camera 24/24;+ Laundry service upon request.THE STUDIO APARTMENT+ 20 square meter with your own kitchen and bathroom, elevator.+ Air conditioning+ Queen size bed, wardrobe, bedside table+ Kitchen tableTHE KITCHEN+ Full kitchen cabinet with basic kitchenware+ Fridge, microwave, kettle, pots and pans.Guest accessCommon areas/facilities: Parking lot.Other things to note+ Washing machine/dry is not free. We have laundry: $1 per 1 kilogram clothes.+ We have free motorbike parking inside house with 1 motorbike for 1 house.+ If you have a car, please find a parking nearby yourself, we don't have parking for car.+ You might bump into other people living in the building (who are mostly polite and keep to themselves). But be sure to keep your door locked at all times.+ To avoid fire, please tell us if you need to use iron.","['https://a0.muscache.com/im/pictures/973b3738-b37c-4042-b5e0-95e42c9676ce.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-43685965/original/997be160-71cf-48f5-9d22-e0f3fc71af93.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-43685965/original/ba92906e-7122-42cf-8e55-735c0d9f6e84.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-43685965/original/c976371b-41eb-4511-a0e1-0702d8cefb36.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-43685965/original/fd35e962-eeae-4f63-bddd-fbb93718e4e4.jpeg?im_w=720']","['Small', 'Medium']",3
Lagom Homestay✯French apartment✯Quiet room ,3 guests · 1 bedroom · 1 bed · 1.5 baths,13 ,"Entire apartment in Hai Bà Trưng, HN","Our Lagom Homestay is an apartment on the 3rd floor of an old French villa of center Hanoi, designed to give you a truly getaway. This is a perfect spot to immerse into local street life and experience traditional, religious practices. You will have quiet, peaceful moment watching the street from our high balcony.The space≤THE HOUSE≥ Our place is an apartment on the 3rd floor of an old French villa with an open balcony. We upgrade the electricity system thus you could experience the vintage of house designation and the modern device in our house. The large bedroom with king size bed will provide you extra energy to explore beautiful Hanoi. There is also a small cozy kitchen helps you to prepare the meals if you need to. ≤THE NEIGHBORHOOD≥ Our place is located on Nguyen Thuong Hien street. The neighbors are friendly Vietnamese family living in the shared old French villa. You will experience a truly atmosphere of Hanoi old quarter lifestyle. ≤LOCATION≥ Our place is 3 km away from the Old Quarter and Hoan Kiem lake (10 mins cab, 30 mins walk). Within walking distance, you will reach sub-old quarter areas with many governmental offices, some restaurants & cafes and also many famous tourist attractions. ≤SERVICES≥ • Airport pickup/drop-off: If you are in need of airport pickup/delivery, I can arrange for you with reasonable price. • Visiting tours: I can arrange tours to several must-visit spots of Vietnam for you. • Complimentary bottled waterGuest accessYou will enter a share lobby before coming to our house. We provide lockbox for you to self check-in thus please only share with those you are traveling with.","['https://a0.muscache.com/im/pictures/45fecdc9-b295-4421-8822-38439ca6bd38.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/df6ef945-6b9f-4fd3-a230-bef2824d3a3f.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/c73b31d5-a35e-4b30-b19b-82194a309941.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/0830ca61-2bb5-4d3e-b600-600a2abb7115.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/380edbc9-261c-412a-8e79-b2b2a526292c.jpg?im_w=720']","['Small', 'Medium', 'Large']",5
[Tram]ლ Apartment for couples ლ Comfortable space ,2 guests · Studio · 1 bed · 1 bath,8 ,"Entire serviced apartment in Tứ Liên, HN","TRAAM VIETTEA TEAHOUSE AND HOMESTAY là một Căn hộ dịch vụ đẹp có địa chỉ ngay tại Số 5, ngõ 99 Âu Cơ, Tây Hồ, Hà Nội, đường đi rất thuận tiện và dễ tìm. TRAAM VIETTEA TEAHOUSE AND HOMESTAY có đội ngũ nhân viên chuyên nghiệp, luôn cố gắng phục vụ mọi nhu cầu của khách hàng, vui lòng khách đến, vừa lòng khách đi, TRAAM VIETTEA TEAHOUSE AND HOMESTAY có quy mô 2 phòng, phòng ốc của TRAAM VIETTEA TEAHOUSE AND HOMESTAY sạch đẹp, đầy đủ tiện ích trong phòng, có đầy đủ nóng lạnh, internet.The spaceThe building is just established since 2020English speaker host, warm and friendly.PRIVATE STANDARD ROOM, safe and sound.Fully furniture and ELEVATORThe shared dining room and kitchen are available for all guests.Smart Android led TV 50 inches.Free fast-speed Wifi connection.Room services such as cleaning and washing/laundry.Huge room window with decorative plants and natural light, fresh air.-24m2 wide, brand new room with private toilet.-24/7 receptionist and staff support. Security camera and auto lights all over the place, anti-fire system.-Tea space and Take-away F&B shop. -24/7 receptionist and staff support. We will get in contact with you asap -whenever you need it.-Nearby a Bus stop, which can come directly to the national airport easily at a very cheap price. -Motorcycle/ Bicycle available for rent. -500m - must go out of video games, Sheraton hotels, beer bar friends...-450m to To Ngoc Van's wife cage... -400m to Quang An Flower Market -300m to Westlake road (10 mins walking) -80m -> sidewalk (beer & grill)-You will find a lot of more interesting activities from locals as well as foreigners here. Only 10 minutes walking to Westlake, fresh air best for jogging and exercise dailyOther things to note+  Khách Dài Hạn đặt phòng từ 28 ngày trở lên:- Đã bao gồm:1. Miễn phí: nước, mạng, chỗ để xe2. được nuôi cho mèo 3. Khách được sử dụng các phòng trong nhà như phòng trà tầng 1 và tầng 24. Xe oto để ở đầu ngõ, nhưng phải tự bảo quản- Chưa bao gồm:1. Tiền điện: 4k/Kw2. Giặt sấy: 30k/lượt hoặc 1 tháng 150k3. dọn dẹp 2 lần 1 tuần: 500k4. dọn dẹp 1 lần 1 tuần: 300k5. sử dụng bếp chung đối với phòng bé: 400k/tháng nếu sd thường xuyên","['https://a0.muscache.com/im/pictures/7f4c426b-cadf-43f1-9af8-e41fd47174c2.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/e1648e4a-edeb-4845-a67b-3c88d6e6c829.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/038422ca-6fa4-4734-9333-ba6e1362c71f.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/d4ba2bc2-4ab3-48fc-ad1e-879865d38d99.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/2bde0625-7871-4cbe-8206-828269cc9ee2.jpg?im_w=720']","['Small', 'Medium']",4
2BED BOUTIQUE ROOM  @OLD QUARTER & HOAN KIEM LAKE ,4 guests · 1 bedroom · 2 beds · 1 bath,11 ,"Entire townhouse in Hoàn Kiếm, HN","Alley is located right at Nguyen Sieu st., only several minute walk to Hoan Kiem Lake and Dong Xuan Market, very good location and very good amenity. Will be a 'miss' if you do not experience life at the Old Quarter when visiting Hanoi. For some, however, it is a challenge finding a rather serene and comfortable place to rest after a long day exploring the city. Alleyhome will be an answer to those who are seeking cultural exchange but still want to have clean & well equipped accomodation.The spaceIMPORTANT: Unless otherwise requested, we will set up 1 bed for every booking of 2 guests!Staying at the Alley means you staying at the heart of Hanoi. This has two advantages: You live and eat like locals, but you can still find stores that sell products for tourists. From the homestay, you can walk to many tourist spots. Alley is one ten steps away from walking streets and night market. You can easily have leisure by walking in the night market. But you dont have to worry if you have a bike and come home late, since the street is not blocked for walking.  The room is locate on the 3rd floor  but the stair is very low and easy to walk. The room has big window, allowing you to enjoy the sunlight, wind and observing the life of people in the Old Quarter. It is also the closest to the rooftop and kitchen.Guest access-The room is private with full amentity including beds, private bathroom, air conditioners, cable and internet TV, wifi, fridge, toiletries, hair dryer, comb, toothbrush, handsoap, iron, umbrella, etc...-The kitchen and roof top bar are the mutual places that you can also use (each room will have a separate fridge so please keep your cooked stuff in the private fridge)Other things to note-The street gate is closed after 11.00 pm so please bring the keys with you when you intend to go home late. For guests checking in after 11.00, Alleyhome will send specific instructions for checkin.-Alley offer Japan rubber mattress for the main bed (which is very good for health). For extrabed, we can only offer cotton mattress since it is foldable in our limited storage (but we will provide mousse topper to make sure the bed is not hard to sleep on)-We are using magnetic key for the room, so after swiping the card to open the room´s doors, please put the magnetic key in the plug on the wall. Only after that, can you turn on the light.","['https://a0.muscache.com/im/pictures/ef4e191b-bbb3-4206-beff-e4e1bcb8ace5.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/d6efb741-0f69-47f9-9b5c-ba093f8bcb63.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/fdad68b2-bf11-40f6-9bda-886d25392b2a.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/d10b141c-4355-468c-8b45-a3ae62b485a8.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/dda78bff-6f20-401e-82a9-54387a4a3366.jpg?im_w=720']","['Small', 'Medium', 'Large']",5
LotusHomestayHanoiOasisView1✩NetflixTV✩Bếp✩BồnTắm ,4 guests · 1 bedroom · 2 beds · 1 bath,29 ,"Entire apartment in Cửa Nam, HN","ENTHUSIASTIC HOSTS - INCREDIBLE VIEW - RELAXING & JOYFUL HOME AT THE OLD QUARTERThe name shows you our unique home. Moreover, it was designed and renovated from passion to bring enjoyable experience to our guests. The previous guests' reviews and the pictures are the most honest evidences showing about our listings' information and the way our team working - all to provide you trustworthy services, comfortable stay with very local  recommendations.You are in good care when staying with us!The spaceThe 75m2 private apartment is on the 3th floor of a building (with elevator) located in a safe area of the Old Quarter, only a quick walk to everything. It’s uniquely decorated with:⭐A wooden bathtub with open concept en-suite bathroom⭐Home massage can be arranged⭐A balcony fresh pond with a oasis view to a typical crossroad of ancient Hanoi⭐Natural sunlight during the day⭐Free waiting rest room for early check-in and late check-out (might be shared)⭐Free lockers to store your luggageIt is ideally for explorers to relax and chill anytime. The Resort Style of the room is a truly gem bringing relaxation to whoever stay in.You can refer our other listings to have the best option which matches your budget:https://www.airbnb.com/rooms/31139404https://www.airbnb.com/rooms/35919003https://www.airbnb.com/rooms/35921900https://www.airbnb.com/rooms/35077848https://www.airbnb.com/rooms/37179025https://www.airbnb.com/rooms/37179676Guest accessYou have your own 3rd floor apartment with your own bedroom, living room, kitchen, bathroom with wooden bathtub and the green terrace.","['https://a0.muscache.com/im/pictures/fbf743d3-920e-4f5e-8917-6b1c3eee3e22.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/c29dc156-d349-41a0-9d26-496e01c8473b.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/603852a9-6d90-478e-83fc-b081b56f6ad5.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/089430db-7c62-417d-8c2c-9c04868291c6.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/c03ac07d-e3c1-44fe-af83-758c0c3bc406.jpg?im_w=720']","['Small', 'Medium', 'Large']",4
LotusHomestayHanoi✩PagodaView1✩Bếp✩BồnTắm✩View Phố ,2 guests · Studio · 1 bed · 1.5 baths,29 ,"Entire apartment in Ba Đình, HN","ENTHUSIASTIC HOSTS - GREAT VIEW - RELAXING BALCONY AT THE OLD QUARTERThe name shows you our unique home. Moreover, they are all designed and renovated from passion to bring enjoyable experience to our guests. The previous guests' reviews and the pictures are the most honest evidences showing about our listings' information and the way our team working - all to provide you trustworthy services, comfortable stay with very local  recommendations.You are in good care when staying with us!The spaceThe 32m2 private studio is on the 4th floor of a building located in a safe area of the Old Quarter, only a quick walk to everything. It’s uniquely decorated with:⭐A wooden bathtub with open concept en-suite bathroom⭐ Home massage can be arranged⭐A balcony fresh pond with a panorama view to an ancient pagoda⭐️Natural sunlight during the day⭐Free lockers to store your luggageIt is ideally for explorers to relax and chill anytime. The Resort style of the room is a truly gem bringing relaxation to whoever stay in.You can refer our other listings to have the best option which matches your budget:https://www.airbnb.com/rooms/31139404https://www.airbnb.com/rooms/35919003https://www.airbnb.com/rooms/35921900https://www.airbnb.com/rooms/35077848https://www.airbnb.com/rooms/37179025https://www.airbnb.com/rooms/37179676Guest accessYou have your own 4th floor studio with your own bedroom, living room, kitchen, bathroom with wooden bathtub and the green terrace.","['https://a0.muscache.com/im/pictures/548612a3-96f8-4ce0-9eea-ec7f509cedda.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/dc39bc3a-b89e-4cda-b43e-ea6c9edbe161.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/6aa1cef2-f159-4ccb-9977-b597073e5d5e.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/c8e918f1-cb04-4045-960d-141b7f2a30ba.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/a922b112-acc0-457d-a11f-0e82029553ae.jpg?im_w=720']","['Small', 'Medium']",1
MONSTERA HOUSE 2: The Temple of Literature ,2 guests · 1 bedroom · 1 bed · 1 private bath,17 ,"Private room in Đống Đa, HN","In addition to our chain of serviced apartments in Hanoi, Monstera House proudly introduces 5 other brand new apartments by The Temple of Literature. All apartments are newly built and equipped with an elevator, CCTV security system 24/7 (in public areas), a smart kitchen and memory foam mattresses ensuring a good night sleep. Please note that Monstera House is at 12 Doan Thi Diem, Hanoi.The space25m2Living Room:- Free high speed internet, Wifi in all areas- Smart TV with movies on demand and entertainments.- AC/HeaterKitchen/Dining Area:- Featuring marble kitchen counter,a microwave, induction hob, a boiler, essential cutleries and exclusive chinaware.- A mini fridge and a front-door washing machine.- A solid wooden dining tableBedroom:- 1 Queen-size Bed- Memory foam- A wardrobeBathroom:- Bathroom amenities (Shampoo, Shower Gel, Towels, Hair dryer)HideGuest access- Guests Rooms- Laundry Room- Roof Top- Motorbike Parking Space","['https://a0.muscache.com/im/pictures/a1a58c3f-9cf3-4134-931d-92c1d10e9e84.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/10fbc313-b071-45c0-b8d9-9bc5e1bbb1d8.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/d93fc981-40a7-4834-b33e-bacbfd72d89e.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/f945b462-62c5-4065-b244-692f721fcd65.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/23392894-ea36-43dd-9f14-a0da6ef63f9f.jpg?im_w=720']","['Small', 'Medium']",3
Modern Art Studio Apartment w/ Rooftop Access ,2 guests · 1 bedroom · 1 bed · 1 bath,21 ,"Entire apartment in Ba Đình, HN","Imagine sipping a cup of in-house specialty egg coffee, casting your eyes over the ever-green view of Hanoi, and enjoying the early sunlight coming right to the small balcony and the broad glass window - all while experiencing a real artist's living and working space. The wooden-covered apartment is followed by a photo gallery on the 3rd floor. Plus, you are in the most historical area of the capital city, where both the Imperial Citadel of Thang Long and Ho Chi Minh Mausoleum are situated.The spaceWelcome to Sóng Sánh Stay!The neighborhood is the most historical area in Hanoi with nearby sites and museums. Public transportations, local markets and convenient stores are easily accessible. - 1 min walk to Ho Chi Minh Mausoleum and Ba Dinh Square- 4 mins walk to Presidential Palace - 5 mins walk to One Pillar Pagoda- 8 mins walk to Kim Ma Bus Station with a direct bus from Noi Bai Airport- 10 mins walk to Fine Arts Museum- 4 mins drive to Imperial Citadel of Thang Long- 5 mins drive to West Lake- 13 mins drive to Old QuarterThe building is a well-known artist studio complex where you can immerse yourself in Vietnamese artistry.- Sóng Sánh Café on the 1st and 2nd floor- Photography gallery & art shop on the 3rd floor- Rooftop access on the 7th floor- 24/7 surveillance cameraThe apartment is brand-new and fully-furnished.- Queen size bed- Private kitchen and bathroom- Full kitchen cabinet with basic kitchenware- Private garden- Original artworks- Laundry service upon requestGuest accessFree airport pick-up is available for guests who book more than 3 nights.You will have a balcony garden to yourself, as well as access to the 7th floor rooftop.","['https://a0.muscache.com/im/pictures/b38b4e52-f8b0-485b-9445-a81c63089228.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/1c0ce282-a873-47ac-9bd9-1170ca7aafde.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/5125db24-a5a2-4632-b322-5e5a15029e61.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/7ddb1606-51ff-481a-8b94-c7feb42f5c98.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/c127ceac-4225-4235-8980-e4f2c43316ec.jpg?im_w=720']","['Small', 'Medium']",2
LakeHouse Studio Apt (New) #4 ,2 guests · Studio · 1 bed · 1 private bath,14 ,"Private room in Hanoi, HN","Great stay. The cleaning service was great. And the host was always responsive. The elevator was not available to the room I was staying in so carrying my luggage up and down the 4th floor was a drag. Overall, I would stay here again for my next trip here.","['https://a0.muscache.com/im/pictures/caf47dba-513d-4125-95ce-eef898f16b91.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/c135b344-f489-4fa0-bd26-115f7175dc57.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/0cfa2fa4-10eb-4729-95dc-de69630bb20b.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/741fe264-f854-4c8b-ac85-153db170947d.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/cb6f6bbb-5146-4312-9d53-a8a173da1eb8.jpg?im_w=720']","['Small', 'Medium']",2
☆Modern Studio w/Balcony next to Hoan Kiem lake☆ ,3 guests · 1 bedroom · 2 beds · 1 bath,26 ,"Entire apartment in Hàng Trống, HN","The studio is located in a new building on Church Street, one of Hanoi’s most atmospheric with church ground, pagodas, boutiques and cafes nearby. It's simply in the middle of everything: St. Joseph’s Cathedral and Ba Da Pagoda at your doorstep, 1 minute to the famous Sword Lake, less than 10 minutes walk to the amazing Ta Hien Beer street and Night Market. The balcony is perfect for viewing the street.You couldn't be in a better location to explore the old quarter and Hanoi.The spaceYou like the busy vibes of the old quarter but want a more spacious place yet comfortable to stay? You heard about the varieties of street foods of Hanoi and want to try? You want to experience the mixture of old and new, of west and east, of different religions? This is the place!Nha Tho Street is one of the must-come destination for everyone who visit Hanoi.Staying here is like living on a food tour, you will be surrounded by many local street foods, cafe’s as well as famous brand like Starbucks, Pizza 4P's, Bubble tea's, Phở, Bún Chả (chargrilled pork w/ vermicelli), steam rice roll, 24/7 convenient stores, super-market, beer street, night market, Hoan Kiem lake... all are seconds away from your room! With everything around you, there are so many choices you will never need to try the same thing twice, the very safe local area is full of wonderful places to eat, some beautiful local pubs to have a drink in the evening, a post office, pharmacy and hospital, international banks, ATMs… are all within a short walk.Our mattresses are super soft and comfortable because we understand that’s what you need after a long-haul flight or just after a day out full of activities.We use only high quality interior furniture from well-known supplier like Uma, Jysk ...We know internet is important, so we use high speed business fiber optic cable (not the household one) to ensure speed and stability (60Mbps).We have 24 hours security guards to make sure of your safety and they will open the door for you at anytime, and so it's ok to check in at ANYTIME day or night, rain or sunThere's a big patio which is perfect for chilling out or just reading a book, or having some drinks. The Kitchen located on the patio is at your disposal, condiments are provided.The laundry area with washing machine and dryer are for your use at anytime, detergent? – we provide.We are here to make your stay more comfortable. Please let us know and we will try our best to accommodate. We can even arrange days out, chauffeur service and more. Just Ask!!Our office is moments away from the property which means we can respond to any requests very quickly with our own management service.We have total 5 nice studios in the same building which you might want to look at in case you travel with many people:https://www.airbnb.com/users/38049968/listings...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................Guest access45m2 room on 4th floor with:-King size bed 180x200cm -Sofa-bed 113 x200cm-Pretty fast wifi (60MbPS)-Cable TV with loads of HD channels-Bluetooth Speaker-Mini fridge, kettle-Complimentary snacks and drinks-Free Vietnamese Coffee phin and tea-Linen and cotton towels -Bathroom with a walk in shower-Shampoo and shower gels provided-Hairdryer-Iron and ironing board-Medical Kit Box-Free washing machine and dryer, free detergent provided-Huge patio on 5th floor with mini garden where you can relax and chill-Kitchen area with cookers, griller, toaster...-Air-condition & Heater-24/7 security guard to make you feel 100% safeOther things to note+ We are truly appreciated if you can help us to water the plants in the balcony+ Our pick-up service: we provide pick-up and drop off service from and to the Airport for a flat rate of $19 (5/7 seats). The driver know the place already so you dont need to find the place yourself. If you choose this, let me know soon for better arrangement. + Express Bus No86 Departure from Terminal 1;2 Noi Bai Airport to Hanoi City Centre ($1.5). Melia Hotel is the nearest drop-off point; from there you can walk 500m or catch a taxi ride ($1) to my place","['https://a0.muscache.com/im/pictures/f0657458-8fbc-4b76-8ea0-864de8e40d57.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/95cb616a-078c-478b-9847-ff6de76bd607.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/f4b6a9d9-a683-44d8-9658-edc6acddb74b.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/9b030919-87d8-4333-9d81-ae7f61f62fbc.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/595f4b94-9c0d-4904-9817-f385ffcd4bb0.jpg?im_w=720']","['Small', 'Medium', 'Large']",3
Le Maven Apt _ 5 mins to Old Quarter ,2 guests · 1 bedroom · 1 bed · 1 bath,15 ,"Entire apartment in Ba Đình, HN","Welcome to Langmandi Homestay! Your home away from home! ^^ Wake up in a light-filled room designed by inspiration of our beautiful Universe. search no more, “Le Maven”  is perfect for a relaxing getaway in Hanoi. The location means you're close to the action but will be able to sleep in peace, the street is nice and quiet. The Ho Chi Minh complex and Botanical Garden are just around the corner and only 10 minutes driving to grab yourself to Old Town.The spaceThere is a big window with glass for you to enjoy tea or coffee every morning and a romantic dinner with friends. Would be a great experience with perfect view  in the historical popular neighborhoodsLe Maven has a large TV with Netflix for you can watch famous movies. All of decorations are made by us with big love. We hope you and your families will feel comfortable and happy when you discovering Hanoi Capital. That’s important for you to enjoy fresh air and quiet lifestyle.Guest accessDuring the time you stay in Le Maven, you will have access to:- Self check in makes this process safe for social distancing-  TV with NETFLIX- Private bathroom with shower, full kitchen equipment and kitchen- Free high speed WIFI- Free motorbike parking on ground floorYou can walk around with beautiful views and fresh air. The main streets have many luxury coffee brands and traditional food: Cong Cafe, mushroom hot pot “Ashima” Restaurant, etc. ..because so many famous cuisines have existed in the city for ages - all are just a few minutes' walk away.Le Maven in central Hanoi, Le Maven is:- Very close to historic Ba Dinh Square, Le Nin Park - with 3 minutes walk to and the rest of city center- 10 minutes walk to the beautiful West Lake with lots of locals,- 10 minutes walk to Tong Duy Tan night food street- 0.5 minute walk to the bus stops on main streetsThis fully furnished room is located on Hanoi's famous central street, 200 meters from Hoan Kiem Lake. Lots of best restaurants and famous food around here.Other things to note- Please don't make some noise after 11PM- When moving in the house or up/down the lift, please be mindful to keep the noise down, keep the area clean (no littering!)-Please kindly turn off all lights and power sourced mechanisms when leaving the unit. We are trying to save as much energy as possible and would love for you to help us in doing so!- This room is on 6th floor and has lift We hope you don't feel bother with some rules cause we want you love house like your owner and we thank you for your understanding! ^.^","['https://a0.muscache.com/im/pictures/32604d99-e4be-404f-960a-1eb2f8d9c4b2.jpg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-48741477/original/230ddded-3e95-4e4d-85ba-ed46a162436a.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-48741477/original/5b6f0dcf-4dde-4f8a-b5a4-60f56e60b648.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-48741477/original/131065ad-7514-43a7-a9fe-5b24f0f7bdb3.jpeg?im_w=720', 'https://a0.muscache.com/im/pictures/miso/Hosting-48741477/original/8b4dc93a-e5f2-4a00-8a45-8b7c4eb7b6c4.jpeg?im_w=720']","['Small', 'Medium']",3
